"county","voters_2017","voters_2023","growth"
"Montserrado","861230","904449","43219"
"Bong","223048","234787","11739"
"Grand Bassa","150542","158463","7921"
"Sinoe","49800","55579","5779"
"Nimba","302894","307254","4360"
"Grand Cape mount","82203","86529","4326"
"Maryland","64219","67600","3381"
"Grand Gedeh","60747","63942","3195"
"Bomi","59955","63112","3157"
"Gbarpolu","48085","50615","2530"
"Rivercess","37945","39941","1996"
"River Gee","35918","37807","1889"
"Grand Kru","41276","42396","1120"
"Margibi","186037","185301","-736"
"Lofa","178275","177129","-1146"
