"electoral_district","total_voters"
"43","75517"
"56","73153"
"32","62849"
"45","61958"
"41","61495"
"40","59901"
"50","59901"
"49","57119"
"51","54396"
"42","51064"
"52","49468"
"55","48302"
"44","45395"
"46","44311"
"48","44038"
"30","43061"
"6","41840"
"54","41673"
"53","39859"
"27","39844"
"59","39525"
"58","38662"
"16","38527"
"31","37908"
"4","37046"
"47","36899"
"57","36197"
"63","35775"
"60","35350"
"64","34283"
"33","33434"
"10","32200"
"8","32051"
"21","31447"
"9","30930"
"17","30749"
"15","30726"
"5","30691"
"34","30547"
"18","30499"
"7","30029"
"62","29994"
"36","29961"
"61","29823"
"29","29606"
"35","28510"
"20","28451"
"14","27962"
"65","27645"
"28","26710"
"19","26631"
"38","24934"
"3","24733"
"24","23509"
"26","21957"
"39","21544"
"37","21122"
"71","20783"
"25","20439"
"22","20407"
"69","20240"
"23","20026"
"70","19701"
"1","19236"
"2","19143"
"12","18988"
"72","18439"
"11","16869"
"73","16357"
"13","14758"
"67","13756"
"68","12043"
"66","12008"
